id,attr_time,attr_x,attr_y,attr_z
1,1437143842709,-8.32709,-4.30887,2.99965
2,1437143842734,-8.38272,-4.33789,2.93266
3,1437143842749,-8.44269,-4.34874,2.95221
4,1437143842774,-8.49672,-4.34541,2.98631
5,1437143842787,-8.44694,-4.32184,3.03296
6,1437143842813,-8.47432,-4.33069,2.9985
7,1437143842843,-8.42325,-4.27789,3.04071
8,1437143842852,-8.4307,-4.22975,3.02469
9,1437143842882,-8.43965,-4.2529,3.04338
10,1437143842893,-8.40974,-4.23582,3.00619
11,1437143842922,-8.42221,-4.26984,3.03339
12,1437143842929,-8.3925,-4.32716,3.00366
13,1437143842961,-8.4106,-4.37053,3.00156
14,1437143842971,-8.4196,-4.39647,3.01385
15,1437143843000,-8.42419,-4.35843,2.96748
16,1437143843011,-8.41837,-4.30341,2.96889
17,1437143843040,-8.42462,-4.27283,2.95419
18,1437143843050,-8.4183,-4.27438,2.9588
19,1437143843080,-8.46257,-4.2899,2.97855
20,1437143843090,-8.46571,-4.2805,3.01785
21,1437143843119,-8.48117,-4.27559,3.03006
22,1437143843144,-8.45621,-4.24054,3.02689
23,1437143843159,-8.42886,-4.20901,3.02138
24,1437143843184,-8.43205,-4.21046,2.94849
25,1437143843199,-8.43776,-4.20103,2.94649
26,1437143843223,-8.40198,-4.23349,2.90376
27,1437143843238,-8.34534,-4.24278,2.91972
28,1437143843263,-8.2771,-4.30229,2.98088
29,1437143843278,-8.30841,-4.38924,3.01498
30,1437143843303,-8.37474,-4.50188,3.13123
31,1437143843316,-8.36792,-4.5477,3.10503
32,1437143843342,-8.41049,-4.59015,3.0475
33,1437143843356,-8.414,-4.56107,3.01848
34,1437143843382,-8.42174,-4.50812,3.0096
35,1437143843397,-8.46254,-4.42099,2.98358
36,1437143843421,-8.45433,-4.32661,2.94473
37,1437143843436,-8.47023,-4.26172,2.99562
38,1437143843460,-8.52647,-4.21532,3.05501
39,1437143843475,-8.57709,-4.10522,3.0845
40,1437143843499,-8.62595,-4.06088,3.12654
41,1437143843515,-8.63148,-3.96288,3.06369
42,1437143843540,-8.51997,-3.91505,2.91547
43,1437143843554,-8.51561,-3.92462,2.79039
44,1437143843579,-8.4744,-3.93625,2.77261
45,1437143843594,-8.45297,-3.91379,2.80373
46,1437143843618,-8.47672,-3.9108,2.8562
47,1437143843632,-8.49538,-4.02829,2.90294
48,1437143843658,-8.50348,-4.14899,2.96344
49,1437143843681,-8.45219,-4.17683,3.06227
50,1437143843697,-8.37521,-4.25415,3.12772
51,1437143843723,-8.33102,-4.27771,3.13693
52,1437143843737,-8.31746,-4.39525,3.18762
53,1437143843762,-8.33218,-4.45218,3.10202
54,1437143843776,-8.33264,-4.54716,3.07446
55,1437143843801,-8.33618,-4.63286,3.13466
56,1437143843815,-8.33389,-4.6035,3.16191
57,1437143843841,-8.39203,-4.60675,3.19257
58,1437143843856,-8.38115,-4.55534,3.15486
59,1437143843878,-8.40065,-4.51921,3.02791
60,1437143843895,-8.34592,-4.30075,3.04984
61,1437143843919,-8.32137,-4.18187,2.98711
62,1437143843949,-8.33234,-4.19601,3.0237
63,1437143843958,-8.44652,-4.21272,2.96053
64,1437143843989,-8.45456,-4.20193,2.98683
65,1437143843999,-8.47765,-4.20055,2.99467
66,1437143844029,-8.53162,-4.22841,2.92531
67,1437143844039,-8.56723,-4.20605,3.04298
68,1437143844068,-8.52249,-4.23665,3.07985
69,1437143844078,-8.45886,-4.22577,3.14355
70,1437143844108,-8.41974,-4.2238,3.18271
71,1437143844117,-8.44743,-4.29616,3.17937
72,1437143844147,-8.52515,-4.33327,3.17409
