id,attr_time,attr_x,attr_y,attr_z
1,1437143842706,-8.285135,5.130774,-0.08379706
2,1437143842727,-8.2593975,5.106832,-0.08499416
3,1437143842746,-8.271967,5.111022,-0.08080431
4,1437143842764,-8.253412,5.109226,-0.06464344
5,1437143842785,-8.2593975,5.120599,-0.038905777
6,1437143842807,-8.225879,5.1020436,-0.07062895
7,1437143842825,-8.222886,5.100847,-0.076015905
8,1437143842846,-8.194754,5.0691237,-0.08559271
9,1437143842865,-8.24204,5.0421886,-0.09756372
10,1437143842884,-8.298303,4.996699,-0.1376666
11,1437143842903,-8.337209,4.8961425,-0.09995792
12,1437143842924,-8.483255,4.8883615,-0.08080431
13,1437143842945,-8.587403,4.8428717,-0.02633622
14,1437143842968,-8.581417,4.8877625,-0.048482586
15,1437143842984,-8.523358,4.8416743,0.054468088
16,1437143843008,-8.397662,4.9015293,0.06584055
17,1437143843026,-8.356362,4.9919105,0.08319851
18,1437143843046,-8.290522,5.080496,0.051475335
19,1437143843065,-8.181585,5.182848,-0.059855044
20,1437143843088,-8.061277,5.2582655,-0.16340427
21,1437143843108,-8.107366,5.3169236,-0.17836803
22,1437143843128,-8.267179,5.3528366,-0.18495208
23,1437143843147,-8.2833395,5.354632,-0.109534726
24,1437143843168,-8.104373,5.2636523,-0.045489833
25,1437143843189,-8.104971,5.310938,-0.032920275
26,1437143843208,-8.114548,5.2923827,-0.02932897
27,1437143843228,-8.1079645,5.237316,0.0011971008
28,1437143843251,-8.1881695,5.2181625,0.01436521
29,1437143843267,-8.224083,5.1200004,0.08619126
30,1437143843286,-8.27077,5.076905,0.08499416
31,1437143843310,-8.286332,5.043386,0.10534488
32,1437143843326,-8.273763,5.035605,0.093373865
33,1437143843346,-8.252214,5.0763063,0.044292733
34,1437143843364,-8.318055,5.059547,0.018555064
35,1437143843390,-8.352771,5.0625396,-0.0077811554
36,1437143843411,-8.3821,5.048773,0.039504327
37,1437143843431,-8.352173,5.070919,0.07182605
38,1437143843447,-8.328231,5.107431,0.076614454
39,1437143843466,-8.294712,5.2049947,0.045489833
40,1437143843503,-8.27077,5.267244,0.02873042
41,1437143843504,-8.180987,5.3540335,-0.025139118
42,1437143843526,-8.103176,5.410896,-0.047884032
43,1437143843545,-7.996035,5.437232,-0.08259996
44,1437143843568,-7.980473,5.453393,-0.05207389
45,1437143843587,-8.067862,5.485116,-0.077811554
46,1437143843606,-8.039131,5.467758,-0.034715924
47,1437143843625,-8.123527,5.48751,-0.015562311
48,1437143843648,-8.205527,5.530606,0.0011971008
49,1437143843668,-8.150461,5.5120506,0.061650693
50,1437143843686,-8.059482,5.515642,0.089184016
51,1437143843711,-7.9744873,5.5138464,0.08499416
52,1437143843728,-7.926005,5.530606,0.10055647
53,1437143843748,-8.02297,5.5737014,0.06943185
54,1437143843768,-8.039131,5.465364,0.06464344
55,1437143843788,-8.069656,5.401319,0.073621705
56,1437143843808,-7.9182234,5.5138464,-0.023942016
57,1437143843829,-7.903858,5.7215433,-0.12270284
58,1437143843848,-7.4028716,5.8987145,-0.25917232
59,1437143843866,-6.6882024,6.3913217,-0.4249708
60,1437143843888,-6.0405707,7.1059904,-0.7272388
61,1437143843909,-5.273828,7.8027034,-0.92895025
62,1437143843927,-5.0481744,8.409035,-0.9947908
63,1437143843948,-5.390545,8.546701,-1.0642227
64,1437143843969,-5.1259856,8.594585,-0.9528923
65,1437143843986,-4.710592,8.89446,-0.90261406
66,1437143844006,-5.0822916,8.739435,-0.9032126
67,1437143844034,-5.5312047,8.436568,-0.7493851
68,1437143844055,-5.671265,8.04751,-0.6895301
69,1437143844073,-5.807136,7.7626004,-0.58298814
70,1437143844089,-6.0280013,7.5561004,-0.53809685
71,1437143844106,-6.187216,7.441179,-0.504578
72,1437143844128,-6.2500634,7.3657618,-0.5686229
73,1437143844147,-6.3979053,7.2502413,-0.51714754
74,1437143844175,-6.4840965,7.07726,-0.4842273
75,1437143844210,-6.475717,6.865972,-0.43993455
76,1437143844211,-6.3392477,6.716933,-0.44771573
77,1437143844343,-5.9561753,6.9767036,-0.5835867
78,1437143844344,-5.4922986,7.475296,-0.8463503
79,1437143844345,-5.119402,7.69257,-0.9475053
80,1437143844346,-4.768651,7.764396,-1.0127473
81,1437143844347,-4.370615,7.9116397,-1.1264719
82,1437143844348,-3.9264908,8.55149,-1.365892
83,1437143844349,-3.6433764,9.212888,-1.6472107
84,1437143844379,-3.390788,9.26197,-1.6059108
85,1437143844387,-3.0190883,9.394848,-1.4149733
86,1437143844406,-2.610877,9.762358,-1.5245079
87,1437143844429,-2.4624364,9.852738,-1.4568717
88,1437143844447,-2.582745,9.63726,-1.3054385
89,1437143844471,-2.2343888,9.737817,-1.3150153
90,1437143844488,-2.0745757,9.99639,-1.3575124
91,1437143844509,-2.087744,9.8683,-1.3928268
92,1437143844526,-1.9925743,9.607333,-1.2258313
93,1437143844552,-2.1859062,9.5809965,-1.1767502
94,1437143844569,-2.1769278,9.560047,-1.2725182
95,1437143844586,-1.8806454,9.546879,-1.3036429
96,1437143844608,-1.9003977,9.367912,-1.1773487
97,1437143844626,-2.0859482,9.416395,-1.079785
98,1437143844649,-2.2852654,9.537302,-1.1091139
99,1437143844669,-2.1529858,9.639056,-1.0642227
100,1437143844688,-2.1888988,9.8276,-1.0414777
101,1437143844708,-2.3660698,10.090961,-1.1186907
102,1437143844728,-2.4636335,10.304046,-1.115698
103,1437143844749,-2.1817162,10.151415,-1.1252748
104,1437143844766,-2.203264,9.787497,-0.85772276
105,1437143844788,-2.5558102,9.449316,-0.7230489
106,1437143844807,-2.9472623,9.14226,-0.4985925
107,1437143844832,-3.2573113,8.97646,-0.32800564
108,1437143844852,-3.5853171,8.989629,-0.13227965
109,1437143844873,-3.4847605,9.015965,-0.05267244
110,1437143844891,-3.3081882,9.103952,0.06404489
111,1437143844907,-3.2878375,9.234436,0.050278235
112,1437143844928,-2.9496565,9.322423,0.02932897
113,1437143844947,-2.906561,9.312846,0.107739076
114,1437143844969,-2.842516,9.415198,0.08499416
115,1437143844987,-2.8772318,9.415198,0.15322891
116,1437143845067,-3.0556,9.19134,0.16519992
117,1437143845068,-3.1962593,9.009979,0.219668
118,1437143845069,-3.3901896,8.893262,0.16160862
119,1437143845070,-3.1735144,8.84059,0.23223756
120,1437143845088,-2.9370868,8.665215,0.30286652
121,1437143845110,-2.908955,8.695741,0.3393781
122,1437143845127,-2.8532898,8.706514,0.31783026
123,1437143845152,-2.517503,8.889671,0.30166942
124,1437143845169,-2.2337902,9.107543,0.16220717
125,1437143845189,-1.8710686,9.226056,-0.025737667
126,1437143845207,-1.8501194,9.099164,-0.10115502
127,1437143845229,-2.4139538,9.473856,-0.17417817
128,1437143845252,-2.4313118,9.862914,-0.5674258
129,1437143845270,-2.4049757,10.304645,-0.4866215
130,1437143845289,-3.828927,10.794258,-0.65541273
131,1437143845309,-2.9700072,10.427945,-0.97025025
132,1437143845329,-2.0159178,10.005369,-0.7266402
133,1437143845349,-1.8483237,9.361329,-1.3012487
134,1437143845370,-1.3102269,8.754997,-1.2270284
135,1437143845389,-1.6819267,8.419808,-1.2479776
136,1437143845409,-2.2421699,8.644864,-1.5741876
137,1437143845432,-2.1410148,8.768166,-1.6723499
138,1437143845447,-2.658761,9.153631,-1.8231846
139,1437143845470,-2.6719291,9.411607,-2.3720553
140,1437143845489,-2.4756045,9.40203,-2.380435
141,1437143845509,-2.4768016,9.551667,-2.4785974
142,1437143845529,-1.9027919,9.662998,-2.7694929
143,1437143845555,-0.88046765,9.484032,-2.8712463
144,1437143845569,-0.130484,9.056067,-2.859874
145,1437143845587,-0.26276365,8.326435,-2.6144683
146,1437143845611,-0.8026561,7.3723454,-2.168548
147,1437143845631,-0.90500826,6.6510925,-1.9859903
148,1437143845654,-0.41240123,6.229114,-2.0386627
149,1437143845679,0.16699557,6.654085,-1.9656396
150,1437143845779,0.22984336,7.3466077,-2.5659857
151,1437143845780,-0.12090719,8.154651,-2.7072437
152,1437143845781,-0.43993455,8.472482,-2.8335378
153,1437143845782,-0.14963761,8.492233,-2.4929626
154,1437143845783,-0.65301853,8.430583,-2.2224178
155,1437143845809,-1.508347,8.920795,-2.404377
156,1437143845810,-2.207454,9.230247,-2.6013002
157,1437143846005,-1.8968062,8.84478,-2.3493104
158,1437143846006,-2.4510639,8.782531,-1.822586
159,1437143846008,-4.07134,9.01776,-1.7645266
160,1437143846009,-5.939416,9.952098,-1.70946
161,1437143846010,-4.1000705,10.404602,-2.4522612
162,1437143846011,-2.980781,11.007941,-1.8698715
163,1437143846012,-3.9073372,10.125079,-1.8357542
164,1437143846013,-3.5362358,10.342353,-0.88525605
165,1437143846014,-5.685032,11.574169,-0.9415198
166,1437143846015,-6.4224463,12.735956,-1.5771804
167,1437143846028,-3.7684734,12.624625,-1.6412252
168,1437143846048,-2.4540567,12.103887,-1.2150574
169,1437143846066,-1.4736311,11.26412,-1.6597804
170,1437143846086,-0.8038532,10.144233,-1.5065514
171,1437143846106,-1.9602526,8.436568,-1.4508862
172,1437143846126,-2.2403743,6.540959,-1.3617022
