id,attr_time,attr_x,attr_y,attr_z
1,1437143842714,-0.079008654,9.619304,-0.5057751
2,1437143842728,-0.06823475,9.572019,-0.3812766
3,1437143842762,-0.08140286,9.584588,-0.47884035
4,1437143842768,-0.15143326,9.6049385,-0.50757074
5,1437143842789,-0.12030864,9.566631,-0.49559975
6,1437143842813,-0.074220255,9.5385,-0.49081135
7,1437143842829,-0.11192893,9.531317,-0.44592008
8,1437143842848,-0.08499416,9.535507,-0.47225627
9,1437143842872,-0.065242,9.56723,-0.4878186
10,1437143842888,-0.05805939,9.594165,-0.5518635
11,1437143842911,-0.09756372,9.618107,-0.52373165
12,1437143842930,-0.08678981,9.556456,-0.47285482
13,1437143842951,-0.02932897,9.561843,-0.5410896
14,1437143842972,0.01616086,9.597756,-0.38067806
15,1437143842991,-0.095768064,9.557653,-0.5614403
16,1437143843011,-0.09696517,9.618107,-0.52612585
17,1437143843031,-0.051475335,9.622895,-0.55485624
18,1437143843049,0.07182605,9.479243,-0.51714754
19,1437143843070,-0.007182605,9.498397,-0.60333884
20,1437143843089,-0.09876082,9.677961,-0.44651863
21,1437143843112,-0.0676362,9.711481,-0.44891283
22,1437143843172,0.055066638,9.578603,-0.4950012
23,1437143843173,0.021547815,9.531317,-0.59376204
24,1437143843205,-0.09636662,9.536105,-0.5267244
25,1437143843206,-0.17238252,9.596559,-0.3369839
26,1437143843213,-0.15263036,9.59177,-0.39264908
27,1437143843254,-0.109534726,9.613318,-0.49200845
28,1437143843255,-0.005985504,9.580399,-0.5177461
29,1437143843269,-0.03172317,9.594165,-0.42078096
30,1437143843290,-0.090381116,9.585785,-0.4830302
31,1437143843310,-0.0688333,9.589376,-0.4866215
32,1437143843332,-0.07182605,9.605537,-0.47046062
33,1437143843349,-0.107739076,9.511565,-0.44831428
34,1437143843369,-0.06943185,9.560646,-0.44831428
35,1437143843392,-0.034715924,9.540296,-0.4165911
36,1437143843417,0.010175358,9.569026,-0.4890157
37,1437143843444,-0.074818805,9.619903,-0.48243165
38,1437143843460,-0.091578215,9.630077,-0.39264908
39,1437143843471,0.023343466,9.582792,-0.41359833
40,1437143843492,0.073023155,9.481039,-0.5530606
41,1437143843512,0.05925649,9.539098,-0.5057751
42,1437143843530,-0.0796072,9.609727,-0.44232875
43,1437143843550,-0.0796072,9.698911,-0.3345897
44,1437143843572,-0.005985504,9.549872,-0.50158525
45,1437143843589,0.033518825,9.5385,-0.51954174
46,1437143843609,0.004189853,9.5492735,-0.45010993
47,1437143843663,-0.02932897,9.616311,-0.3716998
48,1437143843664,-0.026934769,9.614515,-0.3878607
49,1437143843670,0.030526072,9.596559,-0.492607
50,1437143843690,0.038905777,9.569624,-0.5422867
51,1437143843709,0.05207389,9.560646,-0.51954174
52,1437143843729,0.04369418,9.554661,-0.3764882
53,1437143843755,-0.050278235,9.570223,-0.44532153
54,1437143843771,-0.022146367,9.617508,-0.57281274
55,1437143843791,-0.06703765,9.634866,-0.46926352
56,1437143843809,-0.11252748,9.5732155,-0.5105635
57,1437143843829,-0.1328782,9.510367,-0.47345337
58,1437143843850,-0.11911154,9.5971575,-0.47046062
59,1437143843869,-0.110731825,9.537901,-0.5638345
60,1437143843889,-0.08140286,9.585187,-0.4914099
61,1437143843912,-0.08200141,9.634268,-0.45250413
62,1437143843929,-0.018555064,9.628283,-0.53809685
63,1437143843951,0.05925649,9.5798,-0.47405192
64,1437143843972,0.14185645,9.560646,-0.4866215
65,1437143843991,0.20171149,9.610924,-0.4758476
66,1437143844012,0.18974048,9.557653,-0.29508537
67,1437143844029,0.1352724,9.558251,-0.439336
68,1437143844051,0.13467385,9.665392,-0.5494693
69,1437143844071,0.12449849,9.598354,-0.51954174
70,1437143844090,0.10295067,9.574412,-0.5291186
71,1437143844113,0.08020575,9.588778,-0.50397944
72,1437143844165,0.022744916,9.540894,-0.45908818
73,1437143844177,-0.11492168,9.5570545,-0.4369418
74,1437143844178,-0.15502456,9.607333,-0.39803603
75,1437143844199,-0.1352724,9.683948,-0.40701428
76,1437143844209,-0.15143326,9.548077,-0.5410896
77,1437143844229,0.09995792,9.534309,-0.46507367
78,1437143844255,-0.006584055,9.574412,-0.5303157
79,1437143844270,-0.15322891,9.625289,-0.6027403
80,1437143844291,-0.20051439,9.589376,-0.3878607
81,1437143844310,-0.089184016,9.572617,-0.43514615
82,1437143844330,-0.05805939,9.621698,-0.5153519
83,1437143844354,-0.18794483,9.535507,-0.5650316
84,1437143844373,-0.16160862,9.634268,-0.41838676
85,1437143844393,-0.08619126,9.619304,-0.37948096
86,1437143844413,0.024540568,9.5253315,-0.51714754
87,1437143844433,0.12270284,9.592369,-0.52852005
88,1437143844453,0.12928689,9.574412,-0.4854244
89,1437143844473,0.016759412,9.58818,-0.5686229
90,1437143844493,0.01316811,9.64145,-0.43993455
91,1437143844513,-0.1340753,9.543288,-0.61530983
92,1437143844533,-0.19393034,9.658808,-0.4938041
93,1437143844550,-0.109534726,9.574412,-0.5315128
94,1437143844571,0.0676362,9.567828,-0.4321534
95,1437143844591,-0.029927522,9.558251,-0.59495914
96,1437143844610,-0.2112883,9.597756,-0.50397944
97,1437143844671,-0.29628247,9.640852,-0.55006784
98,1437143844672,-0.093373865,9.558251,-0.46327803
99,1437143844673,0.061052144,9.393052,-0.4782418
100,1437143844702,0.1352724,9.617508,-0.6937199
101,1437143844711,0.061650693,9.668983,-0.5482722
102,1437143844738,-0.0035913025,9.591172,-0.6781576
103,1437143844752,0.13706805,9.5809965,-0.61171854
104,1437143844772,0.25498247,9.532514,-0.58418524
105,1437143844790,0.16819267,9.659407,-0.54647654
106,1437143844811,0.040102877,9.744401,-0.60693014
107,1437143844831,0.011971008,9.653421,-0.4985925
108,1437143844850,0.0077811554,9.507974,-0.5967548
109,1437143844870,0.07062895,9.486425,-0.44532153
110,1437143844890,-0.10354923,9.490616,-0.33399114
111,1437143844913,-0.3812766,9.554661,-0.4141969
112,1437143844939,-0.40880993,9.654618,-0.5494693
113,1437143844953,-0.15861586,9.719262,-0.4818331
114,1437143844974,-0.0724246,9.606135,-0.30166942
115,1437143844991,-0.017357962,9.589376,-0.39983168
116,1437143845012,-0.12210429,9.620501,-0.5805939
117,1437143845030,0.0023942017,9.648633,-0.50517654
118,1437143845051,0.061052144,9.464878,-0.7469909
119,1437143845070,0.0724246,9.522937,-0.56084174
120,1437143845090,0.16101007,9.555858,-0.7715315
121,1437143845134,0.29807812,9.48882,-0.61052144
122,1437143845143,0.16879122,9.533711,-0.43993455
123,1437143845174,-0.19871874,9.818023,-0.8026561
124,1437143845175,-0.20829555,9.807847,-0.7134721
125,1437143845192,0.22445641,9.64983,-0.41299978
126,1437143845219,0.41120413,9.413403,-0.8086416
127,1437143845230,0.3513491,9.36911,-0.85173726
128,1437143845252,0.24001873,9.484032,-0.6302736
129,1437143845270,0.1400608,9.64145,-0.54288524
130,1437143845291,-0.06284779,9.623494,-0.38187516
131,1437143845313,-0.2789245,9.591172,-0.29328972
132,1437143845336,-0.39624038,9.671976,-0.25378537
133,1437143845357,-0.13108255,9.561244,-0.23642741
134,1437143845372,-0.08140286,9.3499565,-0.11252748
135,1437143845393,-0.34356794,9.323022,-0.059855044
136,1437143845440,-0.45669398,9.713875,0.28550854
137,1437143845441,-1.1785458,10.375872,0.866701
138,1437143845456,-1.4634558,10.316615,1.1971009
139,1437143845471,-1.2982559,9.946113,1.721431
140,1437143845492,-1.0139444,10.465055,1.9991584
141,1437143845510,-0.6919243,11.184513,2.0602105
142,1437143845530,-0.22146365,11.172543,2.0338743
143,1437143845553,-0.3441665,10.387842,2.1386206
