id,attr_time,attr_x,attr_y,attr_z
1,1437143842708,9.725846,-0.736217,1.9309237
2,1437143842733,9.719262,-0.65242,1.875857
3,1437143842754,9.642049,-0.5805939,1.8136078
4,1437143842775,9.651027,-0.5374983,1.839944
5,1437143842789,9.718064,-0.59376204,1.9045875
6,1437143842811,9.704897,-0.64942724,1.8387469
7,1437143842831,9.69951,-0.6398504,1.8435353
8,1437143842851,9.677961,-0.64942724,1.7890673
9,1437143842869,9.69532,-0.6362591,1.8231846
10,1437143842928,9.725247,-0.65182143,1.8968062
11,1437143842929,9.735423,-0.6847417,1.9590555
12,1437143842938,9.683349,-0.7032967,1.9255368
13,1437143842961,9.618107,-0.7032967,1.8309658
14,1437143842971,9.662998,-0.6242881,1.8381484
15,1437143842989,9.739014,-0.56802434,1.9512744
16,1437143843017,9.735423,-0.62488663,2.0165164
17,1437143843028,9.673772,-0.7026982,1.917157
18,1437143843049,9.609727,-0.6901286,1.8872294
19,1437143843068,9.643845,-0.65062433,1.8644845
20,1437143843089,9.730635,-0.64703304,1.8866309
21,1437143843111,9.759365,-0.64703304,1.8728642
22,1437143843129,9.714474,-0.60453594,1.8614918
23,1437143843151,9.6288805,-0.58777654,1.8118122
24,1437143843169,9.634268,-0.5835867,1.8423382
25,1437143843190,9.735423,-0.5710171,1.9841946
26,1437143843211,9.821614,-0.51235914,1.9967642
27,1437143843230,9.715072,-0.45429978,1.8788497
28,1437143843251,9.594165,-0.48961425,1.7651252
29,1437143843271,9.60853,-0.6075287,1.8920178
30,1437143843290,9.715072,-0.7170634,1.9482816
31,1437143843310,9.730635,-0.6823475,1.9668367
32,1437143843328,9.668385,-0.61770403,1.9919758
33,1437143843350,9.677961,-0.6973112,1.9482816
34,1437143843417,9.728839,-0.7146692,1.9758149
35,1437143843418,9.654019,-0.7835025,2.100912
36,1437143843426,9.600749,-0.91338795,2.1386206
37,1437143843432,9.651626,-0.93014735,2.1296425
38,1437143843455,9.637859,-0.83737206,2.046444
39,1437143843469,9.619903,-0.7140707,1.9919758
40,1437143843495,9.601347,-0.670975,2.0159178
41,1437143843508,9.548077,-0.6937199,1.9782091
42,1437143843532,9.5492735,-0.7098808,1.9111716
43,1437143843558,9.74859,-0.74639237,2.0907366
44,1437143843571,9.988011,-0.717662,2.1571758
45,1437143843588,9.581595,-0.6745663,1.7399861
46,1437143843608,9.601946,-0.48602295,1.7902644
47,1437143843628,9.520543,-0.37828386,1.9213469
48,1437143843648,9.913192,-0.6171055,2.046444
49,1437143843669,9.809643,-0.7158663,1.9327193
50,1437143843690,9.531916,-0.6889315,1.881244
51,1437143843709,9.588778,-0.521936,1.8920178
52,1437143843732,9.763555,-0.5662287,1.8956091
53,1437143843751,9.877279,-0.6967127,1.9009962
54,1437143843775,9.807847,-0.9163807,2.0093338
55,1437143843794,9.69951,-0.85532856,1.9021933
56,1437143843812,9.67018,-0.7930793,1.8818425
57,1437143843913,9.646837,-0.5638345,1.9315223
58,1437143843914,9.78989,-0.7152678,2.1039047
59,1437143843915,9.888652,-0.8583213,2.172738
60,1437143843916,9.607931,-0.6159084,2.0278888
61,1437143843917,9.859921,-0.7428011,2.0207062
62,1437143843929,9.625888,-0.6919243,1.9536686
63,1437143843949,9.524733,-0.090381116,1.6358383
64,1437143843969,9.506178,-0.53211135,1.8716671
65,1437143843999,9.795278,-0.91578215,1.965041
66,1437143844009,10.042479,-0.8523358,2.3080103
67,1437143844036,9.725247,-0.6745663,1.9357121
68,1437143844051,9.512762,-0.40521863,1.8046296
69,1437143844070,9.642049,-0.42317516,1.9081788
70,1437143844093,9.544485,-0.6775591,2.0135236
71,1437143844110,9.481039,-0.7230489,2.0548236
72,1437143844129,9.524135,-0.7308301,2.070386
73,1437143844150,9.654019,-0.7212533,2.0883424
74,1437143844171,9.687539,-0.66738373,2.1021092
75,1437143844197,9.607333,-0.6895301,2.098518
76,1437143844210,9.527127,-0.7577648,2.1110873
77,1437143844230,9.576208,-0.7422025,2.167351
78,1437143844249,9.668983,-0.6889315,2.2266076
79,1437143844269,9.654019,-0.6536171,2.259528
80,1437143844290,9.598953,-0.66498953,2.255338
81,1437143844311,9.636064,-0.7505822,2.2230163
82,1437143844329,9.733028,-0.76434886,2.1051018
83,1437143844375,9.724648,-0.66139823,2.059612
84,1437143844376,9.683349,-0.60214174,2.0524294
85,1437143844395,9.667188,-0.58777654,2.022502
86,1437143844411,9.790489,-0.57281274,2.0518308
87,1437143844429,9.91439,-0.61530983,2.0655975
88,1437143844462,9.886856,-0.7164649,2.0039468
89,1437143844470,9.640852,-0.6356605,1.7567455
90,1437143844491,9.456498,-0.52732295,1.8171991
91,1437143844510,9.354146,-0.48243165,1.785476
92,1437143844530,9.375095,-0.4997896,1.8788497
93,1437143844550,9.683948,-0.60693014,2.1098902
94,1437143844572,10.044274,-0.7589619,2.094328
95,1437143844589,10.007763,-0.7386112,1.8914193
96,1437143844610,9.547478,-0.5279215,1.7663223
97,1437143844632,9.152434,-0.32022446,1.9087774
98,1437143844652,9.199121,-0.44951138,2.2481554
99,1437143844672,9.610326,-0.6961141,2.4642322
100,1437143844693,9.825804,-0.7745243,2.4013844
101,1437143844709,9.677961,-0.6793547,1.9333179
102,1437143844732,9.328408,-0.4309563,1.6867151
103,1437143844751,9.19134,-0.30166942,1.7735049
104,1437143844773,9.372701,-0.30585927,2.1853075
105,1437143844790,9.894038,-0.60573304,2.3277626
106,1437143844883,9.802461,-0.6943185,2.142212
107,1437143844884,9.357139,-0.6380547,1.8106151
108,1437143844885,9.459491,-0.40701428,1.946486
109,1437143844886,10.1161,-0.31184477,2.630629
110,1437143844917,10.25257,-0.8834604,2.722806
111,1437143844918,9.853935,-1.6711528,2.40318
112,1437143844930,9.351153,-1.9931729,2.0398598
113,1437143844964,9.318831,-1.8459295,1.7393875
114,1437143844970,9.442133,-1.6244658,1.6777369
115,1437143844990,9.407417,-1.5442601,1.8489223
116,1437143845011,9.515156,-1.6011224,2.3181858
117,1437143845030,9.752781,-1.7537527,2.6156654
118,1437143845053,9.857527,-1.7549498,2.64679
119,1437143845070,9.849746,-1.4089876,2.6204538
120,1437143845090,9.498995,-1.1186907,2.6240451
121,1437143845110,9.247604,-1.3868413,2.4486697
122,1437143845130,9.36073,-2.0272903,2.1817162
123,1437143845155,9.442732,-2.345719,1.9075803
124,1437143845173,9.367912,-1.9476831,2.0111294
125,1437143845193,9.361927,-1.4347254,1.9710265
126,1437143845213,9.346365,-1.3497312,1.7896658
127,1437143845230,9.270349,-1.6531962,1.8154035
128,1437143845250,9.380483,-1.7340006,1.9458874
129,1437143845270,9.601347,-1.6101006,2.1057005
130,1437143845292,9.63726,-1.5885528,2.348712
131,1437143845313,9.491813,-1.7118542,2.4492683
132,1437143845358,9.5253315,-1.8130093,2.5474305
133,1437143845359,9.614515,-1.6645688,2.3529017
134,1437143845376,9.558251,-1.5717934,2.235586
135,1437143845393,9.431359,-1.5873557,2.1757307
136,1437143845410,9.487024,-1.8381484,2.224812
137,1437143845432,9.19134,-1.6514006,2.0548236
138,1437143845450,8.924387,-1.5310919,1.6561891
139,1437143845472,9.813234,-1.5298948,1.407192
140,1437143845496,10.569203,-1.477821,0.96306765
141,1437143845511,11.075577,-1.9057846,-0.35434186
142,1437143845531,11.11149,-1.6454151,-1.3210008
143,1437143845552,10.316615,0.74519527,-0.7368156
144,1437143845573,7.8452005,3.0304608,0.13467385
145,1437143845590,5.5910597,1.6561891,0.7954735
146,1437143845610,7.103596,-1.3323733,2.6330233
147,1437143845630,10.988788,-2.8688521,4.382586
148,1437143845652,13.570933,-2.9753942,3.3237505
149,1437143845671,14.09287,-2.2559366,0.7577648
150,1437143845691,13.00291,0.24959552,-0.15622166
151,1437143845710,9.817424,2.1877017,0.2837129
152,1437143845732,7.933786,1.9405005,1.9728222
153,1437143845750,7.6788034,0.22744916,2.8820202
154,1437143845773,8.052299,-0.89902276,2.743755
155,1437143845863,7.8212585,-1.4383167,1.666963
156,1437143845878,7.619547,-1.4030021,0.9463082
157,1437143845879,7.9846625,-0.599149,0.92775315
158,1437143845880,8.522161,0.107140526,1.9560628
159,1437143845881,8.337209,-0.62967503,3.280655
160,1437143845917,7.3525934,-2.2343888,2.4875755
161,1437143845918,6.381146,-3.12982,1.4197617
162,1437143845930,6.519411,-1.8716671,0.9211691
163,1437143845960,8.048109,0.6386533,1.697489
164,1437143845972,9.154829,2.2415714,2.291251
165,1437143845994,9.401431,2.4504654,2.417545
166,1437143846013,9.357738,1.8495208,1.7369933
167,1437143846032,8.152855,0.11911154,0.91697925
168,1437143846053,7.3729444,-1.4095862,0.077213004
169,1437143846072,9.155427,-0.92176765,0.75237787
170,1437143846091,12.182297,0.51834464,2.8287494
171,1437143846110,13.825916,0.2693477,-1.666963
172,1437143846133,12.499529,-1.3736732,-3.9618053
173,1437143846153,11.595717,-3.6673183,1.8195933
174,1437143846179,11.438298,-6.5271926,6.208165
175,1437143846193,12.142793,-4.753089,6.3033347
176,1437143846211,12.910134,0.12749124,3.1118636
177,1437143846235,13.180679,3.7720647,2.19249
178,1437143846251,11.887212,1.9829975,2.0632033
179,1437143846275,8.998607,-1.4329298,1.4987702
180,1437143846293,6.127361,-2.3403323,0.76075757
181,1437143846349,5.5671177,-2.0937295,-0.11971009
182,1437143846359,6.831256,-1.9099745,-0.38845924
183,1437143846360,9.858126,-2.2661119,2.8000188
184,1437143846380,11.584345,-1.5161282,4.4406457
185,1437143846393,9.100361,0.7350199,1.8411411
186,1437143846411,4.2521024,2.4241292,-0.1592144
187,1437143846436,2.046444,0.79367787,1.2910733
188,1437143846453,5.5683146,-4.219182,2.392406
189,1437143846473,10.857106,-7.379528,2.9616275
190,1437143846493,10.180145,-2.9909565,1.0456676
191,1437143846515,5.4521956,1.1360487,-1.7705121
192,1437143846535,2.858677,2.2092497,-1.9758149
193,1437143846554,2.5821466,0.82480246,-2.5079262
194,1437143846571,4.4143095,-1.5981296,-1.3904326
195,1437143846591,9.140464,-2.9873652,2.3780408
196,1437143846616,12.797606,-2.1440077,3.0681696
197,1437143846637,19.607914,1.3144168,3.304597
198,1437143846658,19.607914,4.021062,-0.6787562
199,1437143846674,18.010382,5.4180784,2.554613
200,1437143846691,12.567164,4.1665096,4.231153
201,1437143846712,8.917204,-1.8836381,5.677251
202,1437143846732,10.875063,-6.5738792,5.221155
203,1437143846753,14.010868,-3.5314474,3.9953241
204,1437143846773,14.305355,2.3020248,2.191293
205,1437143846863,11.294048,3.3464954,1.1558008
206,1437143846864,8.96449,0.6392518,2.9646204
207,1437143846867,7.9505453,-2.1021092,5.056554
208,1437143846868,8.362348,-2.1978772,2.5420437
209,1437143846908,7.920019,-0.5398925,-0.36990416
210,1437143846909,5.3438582,0.18195933,-3.8379054
211,1437143846911,1.9841946,-0.15741876,-4.687847
212,1437143846941,0.46806642,-0.44711718,-3.5847185
213,1437143846952,0.0023942017,-0.5847838,-1.3617022
214,1437143846975,2.9496565,0.093972415,1.6394296
215,1437143846992,6.4697313,-0.6488287,2.4271219
216,1437143847014,12.4785795,-0.75237787,0.9127894
217,1437143847034,19.138052,1.0839748,-5.0374002
218,1437143847051,19.607914,-1.0803835,-2.393603
219,1437143847078,15.051149,-5.969343,1.8106151
