id,attr_time,attr_x,attr_y,attr_z
1,1437144375009,-1.2216414,9.693524,0.9259575
2,1437144375028,-1.1821371,9.648034,0.90859956
3,1437144375050,-1.1546037,9.595362,0.9259575
4,1437144375068,-1.0737995,9.606135,0.9487024
5,1437144375088,-1.1965023,9.651027,1.0019734
6,1437144375107,-1.287482,9.672575,0.9696517
7,1437144375126,-1.2030864,9.564238,0.9020155
8,1437144375146,-1.091756,9.454702,0.8912416
9,1437144375166,-1.06123,9.448118,0.81043726
10,1437144375186,-1.055843,9.536704,1.1204864
11,1437144375207,-1.1252748,9.624092,1.0289081
12,1437144375228,-1.0827777,9.69113,0.9636662
13,1437144375249,-1.0193313,9.554661,0.8439561
14,1437144375267,-0.9259575,9.524135,0.81642276
15,1437144375288,-0.95947635,9.657611,1.1659763
16,1437144375308,-0.97384155,9.762358,1.1019313
17,1437144375326,-0.98341835,9.712678,1.0929531
18,1437144375346,-1.0121487,9.584588,1.0941502
19,1437144375367,-0.95468795,9.485827,1.0582372
20,1437144375390,-0.99778354,9.5253315,1.1013328
21,1437144375410,-1.0031705,9.602545,1.0935516
22,1437144375433,-1.0265139,9.662399,1.0636241
23,1437144375449,-0.90859956,9.6767645,1.0564415
24,1437144375468,-0.8726865,9.562442,0.9684546
25,1437144375487,-0.84096336,9.501988,0.97503865
26,1437144375506,-0.9355343,9.703101,1.0324994
27,1437144375526,-1.0235212,9.702502,1.0606314
28,1437144375599,-1.06123,9.704897,1.1252748
29,1437144375612,-1.009156,9.630676,1.0989386
30,1437144375613,-0.9576807,9.560646,1.0684125
31,1437144375615,-0.8834604,9.512762,1.0714053
32,1437144375627,-0.88645315,9.510966,1.0342951
33,1437144375646,-0.866701,9.49301,1.0187328
34,1437144375669,-0.8074445,9.540894,0.9684546
35,1437144375686,-0.79726917,9.587581,1.0067618
36,1437144375706,-0.86251116,9.585785,1.0480618
37,1437144375727,-0.9295488,9.585187,1.0779893
38,1437144375747,-0.96785605,9.586384,1.0899603
39,1437144375771,-0.9504981,9.594165,1.06123
40,1437144375788,-0.9163807,9.648633,1.0313023
41,1437144375807,-0.8487445,9.65821,1.0259154
42,1437144375828,-0.88286185,9.582193,1.0869676
43,1437144375848,-0.89303726,9.553463,1.1043255
44,1437144375869,-0.89782566,9.516952,1.0720038
45,1437144375891,-0.85293436,9.583391,1.0289081
46,1437144375909,-0.7565677,9.56723,0.9463082
47,1437144375930,-0.75357497,9.499594,1.2743138
48,1437144375949,-0.8690952,9.526528,1.2360066
49,1437144375968,-0.88166475,9.67856,1.1605892
50,1437144375990,-0.8265981,9.615712,0.9804256
51,1437144376009,-0.79487497,9.541492,0.9876082
52,1437144376028,-0.90500826,9.61272,1.2078748
53,1437144376046,-0.84934306,9.657611,1.1994951
54,1437144376067,-0.83018947,9.536704,1.1833342
55,1437144376087,-0.9295488,9.479243,1.1971009
56,1437144376107,-0.9498995,9.509769,1.1133038
57,1437144376130,-0.90979666,9.569624,1.0809821
58,1437144376152,-0.84814596,9.574412,1.13964
59,1437144376168,-0.88286185,9.568427,1.1917139
60,1437144376186,-0.9696517,9.651027,1.2940661
61,1437144376207,-0.9828198,9.578004,1.1258733
62,1437144376228,-0.93732995,9.499594,1.1683705
63,1437144376247,-0.8738836,9.574412,1.1959038
64,1437144376271,-0.8924387,9.519346,1.2617443
65,1437144376336,-0.95349085,9.535507,1.2802993
66,1437144376337,-0.95109665,9.562442,1.1552023
67,1437144376338,-0.92416185,9.553463,1.1115081
68,1437144376348,-0.8762778,9.564836,1.0911574
69,1437144376367,-0.8750807,9.586982,1.1426327
70,1437144376388,-0.8972271,9.615114,1.1815386
71,1437144376407,-0.9840169,9.638457,1.1893197
72,1437144376455,-0.9475053,9.624691,1.1444284
73,1437144376456,-0.94690675,9.5385,1.1558008
74,1437144376470,-0.9588778,9.514558,1.1851299
75,1437144376490,-1.0079589,9.557653,1.1935096
76,1437144376508,-0.9696517,9.607931,1.1653777
77,1437144376528,-0.878672,9.635465,1.086369
78,1437144376549,-0.8774749,9.619304,1.1055226
79,1437144376570,-0.9151836,9.583989,1.1318588
80,1437144376589,-1.0007763,9.556456,1.1875241
81,1437144376609,-0.98940384,9.570822,1.1665748
82,1437144376628,-0.9540894,9.548675,1.1354501
83,1437144376647,-0.83737206,9.545084,1.1791444
84,1437144376667,-0.8714894,9.534908,1.1474211
85,1437144376687,-0.8631097,9.634866,1.1426327
86,1437144376708,-0.89303726,9.607931,0.95708215
87,1437144376729,-0.9660604,9.585187,0.96785605
88,1437144376749,-0.98581254,9.590573,1.1007342
89,1437144376768,-0.97623575,9.685743,1.1384429
90,1437144376788,-0.87448215,9.613318,1.0055647
91,1437144376808,-0.87927055,9.545682,1.0773908
92,1437144376829,-0.96067345,9.543288,1.0857705
93,1437144376852,-0.9660604,9.58818,1.06123
94,1437144376872,-1.027711,9.577405,1.0875661
95,1437144376893,-0.973243,9.542689,1.0588357
96,1437144376908,-0.9331401,9.675568,1.1767502
97,1437144376928,-0.9343372,9.741408,1.0181342
98,1437144376948,-0.91219085,9.660006,1.0696096
99,1437144376968,-0.9816227,9.542689,1.1115081
100,1437144377001,-1.0869676,9.562442,1.1707647
101,1437144377055,-1.079785,9.479243,1.110311
102,1437144377056,-0.9780314,9.506178,1.0654198
103,1437144377057,-0.8870517,9.560047,1.0121487
104,1437144377071,-0.94211835,9.625888,1.0696096
105,1437144377087,-1.0384849,9.675568,1.0714053
106,1437144377107,-1.067814,9.5809965,1.0749966
107,1437144377127,-0.99179804,9.508572,1.0408791
108,1437144377148,-0.96905315,9.536105,1.0181342
109,1437144377169,-0.99299514,9.610326,1.0474633
110,1437144377189,-1.0384849,9.657611,1.0702082
111,1437144377208,-1.0342951,9.609129,1.0594343
112,1437144377228,-1.0019734,9.503185,1.0702082
113,1437144377256,-1.0061632,9.518148,1.0839748
114,1437144377283,-1.0031705,9.601347,1.0432734
115,1437144377301,-1.0217255,9.643246,1.0570401
116,1437144377307,-1.0588357,9.599552,1.0923545
117,1437144377327,-1.073201,9.534908,1.1150994
118,1437144377349,-1.1007342,9.573814,1.1025299
119,1437144377372,-1.0007763,9.594764,1.0133458
120,1437144377389,-1.0432734,9.548077,1.1150994
121,1437144377408,-1.0815806,9.66659,1.1426327
122,1437144377428,-1.0193313,9.637859,1.0959458
123,1437144377448,-0.9564836,9.587581,0.99898064
124,1437144377467,-0.9756372,9.575011,1.0528502
125,1437144377488,-1.0791864,9.685144,1.2120646
126,1437144377509,-1.0839748,9.706693,1.1240777
127,1437144377528,-1.0384849,9.570223,1.1049241
128,1437144377550,-1.0510546,9.451111,1.1180922
129,1437144377567,-0.9947908,9.536704,1.062427
130,1437144377590,-1.0690111,9.642648,1.1198878
131,1437144377609,-1.091756,9.64145,1.0720038
132,1437144377631,-1.0953473,9.566631,1.1121067
133,1437144377652,-0.9828198,9.610924,1.0253168
134,1437144377672,-1.0043676,9.4972,1.0666169
135,1437144377689,-0.98341835,9.582193,1.0749966
136,1437144377709,-0.92775315,9.615114,1.1498153
137,1437144377729,-1.0702082,9.488221,1.2330139
