id,attr_time,attr_x,attr_y,attr_z
1,1437144375011,-8.188768,5.173271,0.1436521
2,1437144375029,-8.234857,5.149329,0.20231004
3,1437144375048,-8.268974,5.1601033,0.21667525
4,1437144375066,-8.255806,5.177461,0.23343466
5,1437144375086,-8.224083,5.1918263,0.24061728
6,1437144375105,-8.149862,5.1864395,0.26515785
7,1437144375131,-8.086416,5.1744685,0.24301147
8,1437144375152,-8.135497,5.221754,0.23104046
9,1437144375171,-8.157045,5.181651,0.23642741
10,1437144375187,-8.109161,5.1140146,0.25558102
11,1437144375209,-8.168418,5.0906715,0.27114335
12,1437144375285,-8.230667,5.1116204,0.28072014
13,1437144375286,-8.305486,5.1523223,0.23523031
14,1437144375287,-8.341997,5.120599,0.2633622
15,1437144375288,-8.364742,5.08708,0.32561144
16,1437144375308,-8.374319,5.048773,0.3705027
17,1437144375330,-8.26658,5.011064,0.42916065
18,1437144375345,-8.182184,5.01705,0.4429273
19,1437144375365,-8.215105,5.04578,0.40521863
20,1437144375389,-8.197148,5.065532,0.36631286
21,1437144375406,-8.169016,5.083489,0.32561144
22,1437144375426,-8.215703,5.1265845,0.30645782
23,1437144375447,-8.286332,5.108628,0.28790274
24,1437144375466,-8.324639,5.0781016,0.28191724
25,1437144375489,-8.341399,5.0523643,0.28072014
26,1437144375505,-8.269572,4.999093,0.26156655
27,1437144375533,-8.35337,4.9625816,0.260968
28,1437144375546,-8.391677,4.9176903,0.27832595
29,1437144375568,-8.354567,4.9015293,0.260968
30,1437144375589,-8.371924,4.857237,0.2753332
31,1437144375608,-8.355764,4.836886,0.27712885
32,1437144375629,-8.382699,4.829105,0.2896984
33,1437144375649,-8.371924,4.8656163,0.2837129
34,1437144375667,-8.388684,4.9063177,0.25977087
35,1437144375689,-8.405443,4.9542017,0.2777274
36,1437144375709,-8.339603,4.973954,0.24301147
37,1437144375729,-8.30369,4.9787426,0.24181437
38,1437144375749,-8.268375,4.993706,0.24181437
39,1437144375766,-8.240244,4.991312,0.25258827
40,1437144375786,-8.292317,4.9996915,0.24720132
41,1437144375807,-8.333617,5.0146556,0.22864626
42,1437144375828,-8.337209,4.972757,0.24839842
43,1437144375849,-8.381501,4.929063,0.23642741
44,1437144375869,-8.419808,4.953005,0.24121583
45,1437144375889,-8.345589,4.9362454,0.24720132
