id,attr_time,attr_x,attr_y,attr_z
1,1437144375009,9.832987,-0.5153519,2.0973208
2,1437144375030,9.763555,-0.52971715,2.0242975
3,1437144375050,9.651626,-0.52971715,2.0021513
4,1437144375071,9.638457,-0.533907,2.0350714
5,1437144375090,9.585187,-0.57760113,2.0093338
6,1437144375111,9.566033,-0.7134721,1.8674773
7,1437144375130,9.5971575,-0.7009025,1.8166006
8,1437144375150,9.711481,-0.6476316,1.9147629
9,1437144375179,9.812037,-0.6422446,1.9393034
10,1437144375242,9.813833,-0.58418524,1.9662381
11,1437144375243,9.648633,-0.53330845,1.9369092
12,1437144375244,9.536105,-0.55126494,1.8531121
13,1437144375270,9.642049,-0.5650316,1.9476831
14,1437144375271,9.761759,-0.5793968,2.0362685
15,1437144375289,9.8683,-0.6422446,2.107496
16,1437144375319,9.721058,-0.6727707,2.0153193
17,1437144375330,9.584588,-0.64463884,1.827973
18,1437144375355,9.622296,-0.5883751,1.8201919
19,1437144375378,9.713875,-0.57520694,1.9524715
20,1437144375397,9.7402115,-0.66020113,2.0231004
21,1437144375411,9.679757,-0.7290344,1.9901801
22,1437144375431,9.59177,-0.6805518,1.9812019
23,1437144375451,9.610924,-0.641646,1.8716671
24,1437144375475,9.659407,-0.65062433,1.8908207
25,1437144375493,9.757569,-0.63206923,2.0811598
26,1437144375510,9.760562,-0.6051345,2.1098902
27,1437144375530,9.690532,-0.62009823,1.9351135
28,1437144375551,9.566033,-0.7344214,1.8237832
29,1437144375576,9.528923,-0.7368156,1.8064252
30,1437144375590,9.642049,-0.5931635,1.982399
31,1437144375610,9.738416,-0.49440265,2.0452468
32,1437144375631,9.683349,-0.5410896,2.1033063
33,1437144375655,9.642648,-0.61411273,2.0512323
34,1437144375722,9.657611,-0.6332663,1.939902
35,1437144375723,9.6528225,-0.6063316,1.9153614
36,1437144375724,9.673772,-0.5955577,2.0536265
37,1437144375742,9.629479,-0.60693014,2.1404164
38,1437144375755,9.651027,-0.6488287,2.0326772
39,1437144375770,9.635465,-0.717662,1.9566613
40,1437144375797,9.669582,-0.6332663,1.8974048
41,1437144375811,9.679757,-0.56323594,1.9925743
42,1437144375832,9.7162695,-0.5805939,2.0332758
43,1437144375852,9.693524,-0.7038953,2.088941
44,1437144375878,9.696517,-0.65421563,2.0590134
45,1437144375890,9.691729,-0.58657944,2.0326772
46,1437144375910,9.698313,-0.45190558,2.0506337
47,1437144375930,9.68275,-0.51235914,2.1284454
48,1437144375951,9.610924,-0.62728083,2.070386
49,1437144375973,9.533711,-0.57161564,2.0201077
50,1437144375990,9.565434,-0.5770026,1.9662381
51,1437144376010,9.766547,-0.6925228,2.0266917
52,1437144376030,9.915586,-0.7086837,2.067393
53,1437144376051,9.782708,-0.58657944,2.0506337
54,1437144376070,9.566033,-0.48602295,1.9955671
55,1437144376099,9.572617,-0.57640404,2.0171149
56,1437144377792,9.64983,-0.63206923,2.079364
57,1437144377793,9.690532,-0.6398504,2.0494366
58,1437144377794,9.689933,-0.6452374,2.0721815
59,1437144377795,9.6923275,-0.6159084,2.0530279
60,1437144377796,9.680955,-0.56982,2.0254946
61,1437144377797,9.646238,-0.51954174,2.083554
62,1437144377798,9.665392,-0.4890157,2.1110873
63,1437144377799,9.665392,-0.5566519,2.083554
64,1437144377800,9.677363,-0.6979098,2.0326772
65,1437144377801,9.694721,-0.6721721,2.042254
66,1437144377802,9.69951,-0.56802434,2.1045034
67,1437144377803,9.700109,-0.55964464,2.086547
68,1437144377804,9.624691,-0.54647654,2.0147207
69,1437144377805,9.543288,-0.504578,2.1242554
70,1437144377806,9.631275,-0.55605334,2.1098902
71,1437144377807,9.787497,-0.60453594,2.1218612
72,1437144377808,9.774328,-0.6440403,2.0907366
73,1437144377809,9.668983,-0.59615624,2.0901382
74,1437144377810,9.592968,-0.45669398,2.0440497
75,1437144377811,9.5013895,-0.5081693,2.007538
76,1437144377812,9.494805,-0.57161564,1.9991584
77,1437144377813,9.631275,-0.6739678,2.0524294
78,1437144377814,9.835979,-0.66259533,2.1164744
79,1437144377815,9.810242,-0.52852005,2.0937295
80,1437144377816,9.6288805,-0.45729253,2.1027076
81,1437144377817,9.566033,-0.5446809,2.1140802
82,1437144377818,9.597756,-0.6404489,2.0811598
83,1437144377819,9.729437,-0.56922144,2.0392613
84,1437144377820,9.786898,-0.4950012,2.0931308
85,1437144377821,9.683349,-0.47345337,2.0751743
86,1437144377822,9.546879,-0.5758055,2.1068976
87,1437144377823,9.562442,-0.670975,2.1110873
88,1437144377824,9.703101,-0.6344634,2.0697873
89,1437144377825,9.750985,-0.53809685,2.135628
90,1437144377826,9.635465,-0.4878186,2.1906946
91,1437144377827,9.578603,-0.5033809,2.2164323
92,1437144377828,9.524135,-0.58777654,2.1871033
93,1437144377829,9.585187,-0.62967503,2.0805612
94,1437144377830,9.709086,-0.5506664,2.0685902
95,1437144377831,9.788095,-0.516549,2.1751323
96,1437144377832,9.7007065,-0.545878,2.2319946
97,1437144377833,9.602545,-0.6793547,2.1452048
98,1437144377834,9.620501,-0.6871359,2.1918917
99,1437144377835,9.7007065,-0.6123171,2.1380222
