id,attr_time,attr_x,attr_y,attr_z
1,1436541500401,-3.0011318,9.09617,-0.26396075
2,1436541500421,-3.0627825,9.114127,-0.21906945
3,1436541500441,-2.9891608,9.211093,-0.061650693
4,1436541500461,-2.8820202,9.244612,-0.130484
5,1436541500481,-2.8640637,9.160215,-0.22924481
6,1436541500501,-3.0657754,9.069835,-0.25737667
7,1436541500521,-3.063381,9.151836,-0.2741361
8,1436541500541,-2.8520927,9.271546,-0.20470424
9,1436541500573,-2.777274,9.270349,-0.19393034
10,1436541500582,-2.9287071,9.144054,-0.2172738
11,1436541500601,-3.108871,9.121908,-0.23582886
12,1436541500621,-3.0825348,9.209895,-0.18435353
13,1436541500641,-2.8670566,9.266758,-0.16160862
14,1436541500661,-2.758719,9.179968,-0.3561375
15,1436541500681,-2.8491,9.024943,-0.30585927
16,1436541500701,-2.9712043,9.196129,-0.15442601
17,1436541500721,-3.083732,9.288904,-0.22505496
18,1436541500741,-2.9861681,9.106346,-0.3609259
19,1436541500761,-2.6563668,9.19553,-0.23343466
20,1436541500781,-2.7234044,9.354745,-0.29568392
21,1436541500801,-3.0813377,9.199121,-0.20709845
22,1436541500821,-3.228581,9.059659,-0.073023155
23,1436541500841,-3.0005333,9.094376,-0.16280572
24,1436541500861,-2.741361,9.206305,-0.35254622
25,1436541500883,-2.7269957,9.2069025,-0.30107087
26,1436541500901,-2.9520507,9.167398,-0.28191724
27,1436541500921,-3.0909145,9.225458,-0.31543607
28,1436541500941,-2.9921536,9.290101,-0.130484
29,1436541500961,-2.7593174,9.219472,-0.20051439
30,1436541500981,-2.819771,9.083003,-0.35314476
31,1436541501001,-2.9987376,9.069236,-0.3489549
32,1436541501021,-3.0544028,9.188946,-0.20051439
33,1436541501041,-2.9592333,9.272743,-0.09636662
34,1436541501061,-2.8449101,9.263765,-0.2657564
35,1436541501081,-2.866458,9.174581,-0.29927522
36,1436541501101,-2.9562407,9.077017,-0.22984336
37,1436541501121,-3.0256724,9.112331,-0.2813187
38,1436541501141,-2.9604304,9.238626,-0.2801216
39,1436541501162,-2.8287494,9.302073,-0.19991584
40,1436541501182,-2.9251158,9.172187,-0.2765303
41,1436541501202,-3.0813377,9.11293,-0.26755205
