id,attr_time,attr_x,attr_y,attr_z
1,1436541500413,-0.56982,10.12448,1.216853
2,1436541500450,-0.623091,10.191518,1.1067197
3,1436541500453,-0.7015011,10.144831,1.1540052
4,1436541500472,-0.676362,10.0748005,1.2318168
5,1436541500495,-0.62488663,10.044274,1.2066777
6,1436541500512,-0.6739678,10.1065235,1.1294646
7,1436541500532,-0.7374141,10.217256,1.0875661
8,1436541500552,-0.670975,10.171766,1.1911154
9,1436541500572,-0.55964464,10.100538,1.2617443
10,1436541500593,-0.55725044,10.059837,1.1917139
11,1436541500634,-0.66020113,10.134656,1.1150994
12,1436541500635,-0.7110779,10.213066,1.1216835
13,1436541500652,-0.6326678,10.155006,1.2294226
14,1436541500672,-0.5410896,10.085575,1.2940661
15,1436541500693,-0.5835867,10.077195,1.2138603
16,1436541500714,-0.6895301,10.152014,1.1198878
17,1436541500735,-0.6793547,10.164583,1.1384429
18,1436541500752,-0.6428431,10.196905,1.1665748
19,1436541500773,-0.59136784,10.211869,1.1851299
20,1436541500796,-0.52073884,10.089765,1.2695254
21,1436541500812,-0.5351041,10.065224,1.1869255
22,1436541500833,-0.6991069,10.099341,1.0893618
23,1436541500852,-0.76434886,10.108319,1.1049241
24,1436541500872,-0.635062,10.061633,1.1372458
25,1436541500892,-0.51235914,10.062231,1.2192472
26,1436541500918,-0.50757074,10.163984,1.1988965
27,1436541500935,-0.6063316,10.246585,1.1234791
28,1436541500955,-0.58538234,10.213066,1.1587936
29,1436541500977,-0.48362875,10.1161,1.2030864
30,1436541500996,-0.5398925,10.001778,1.2114661
31,1436541501014,-0.66259533,10.035296,1.158195
32,1436541501035,-0.7338228,10.1544075,1.0869676
33,1436541501070,-0.7009025,10.173561,1.1504139
34,1436541501073,-0.56982,10.167576,1.2144588
35,1436541501093,-0.516549,10.132261,1.174356
36,1436541501112,-0.59855044,10.070012,1.1390414
37,1436541501133,-0.6895301,10.072407,1.1180922
38,1436541501154,-0.75836337,10.196905,1.0881647
39,1436541501173,-0.6619968,10.184934,1.198298
40,1436541501192,-0.53211135,10.125677,1.2725182
41,1436541501213,-0.5734113,10.132261,1.1893197
42,1436541501233,-0.7038953,10.173561,1.1001357
43,1436541501256,-0.7188591,10.152613,1.1372458
44,1436541501277,-0.6667852,10.150817,1.1791444
45,1436541501295,-0.61770403,10.111911,1.1923125
46,1436541501315,-0.59974754,10.100538,1.1851299
47,1436541501336,-0.6254852,10.15381,1.1522095
48,1436541501357,-0.7092823,10.303447,1.0815806
49,1436541501377,-0.6745663,10.220248,1.1833342
50,1436541501396,-0.5141548,10.081984,1.270124
51,1436541501415,-0.53809685,10.079589,1.1749545
52,1436541501435,-0.712275,10.101735,1.0929531
53,1436541501455,-0.7613561,10.118495,1.0893618
54,1436541501477,-0.6422446,10.139444,1.1300632
55,1436541501496,-0.5793968,10.149619,1.1779473
56,1436541501526,-0.5422867,10.171766,1.2593501
57,1436541501537,-0.545878,10.119094,1.228824
58,1436541501560,-0.56203884,10.126875,1.1330559
