id,attr_time,attr_x,attr_y,attr_z
1,1436540912209,-8.71007,-3.06796,3.44737
2,1436540912229,-8.72163,-3.07193,3.41667
3,1436540912249,-8.7417,-3.11714,3.42319
4,1436540912269,-8.76852,-3.16278,3.43913
5,1436540912288,-8.69104,-3.11421,3.43031
6,1436540912308,-8.73415,-3.08327,3.42281
7,1436540912328,-8.74721,-3.05669,3.45538
8,1436540912346,-8.73035,-3.10506,3.47963
9,1436540912367,-8.75906,-3.14612,3.43976
10,1436540912386,-8.73831,-3.1515,3.425
11,1436540912407,-8.71674,-3.11702,3.40871
12,1436540912426,-8.74098,-3.09953,3.47182
13,1436540912447,-8.73123,-3.0813,3.44893
14,1436540912465,-8.78279,-3.1367,3.46725
15,1436540912486,-8.71188,-3.09747,3.45604
16,1436540912506,-8.67722,-3.06631,3.47086
17,1436540912525,-8.73052,-3.05064,3.45752
18,1436540912545,-8.71043,-3.11755,3.42801
19,1436540912564,-8.74258,-3.11667,3.45021
20,1436540912585,-8.76764,-3.15239,3.45895
21,1436540912604,-8.73392,-3.12524,3.46689
22,1436540912624,-8.716,-3.11974,3.44106
23,1436540912644,-8.71454,-3.11076,3.44177
24,1436540912663,-8.70757,-3.07991,3.43471
25,1436540912684,-8.71956,-3.07959,3.47742
26,1436540912702,-8.70843,-3.088,3.4055
27,1436540912723,-8.72423,-3.07417,3.45009
28,1436540912743,-8.76398,-3.10063,3.46556
29,1436540912763,-8.74252,-3.11331,3.46376
30,1436540912782,-8.72963,-3.11163,3.4976
31,1436540912802,-8.73723,-3.09554,3.49236
32,1436540912822,-8.74841,-3.13223,3.53032
33,1436540912842,-8.74442,-3.13031,3.52925
34,1436540912862,-8.72331,-3.16174,3.4467
35,1436540912880,-8.67207,-3.2068,3.4213
36,1436540912901,-8.74493,-3.1281,3.49774
37,1436540912920,-8.76779,-3.21005,3.46806
38,1436540912941,-8.69923,-3.14725,3.44478
39,1436540912978,-8.69235,-3.09355,3.4259
40,1436540913000,-8.70459,-3.03795,3.47806
41,1436540913019,-8.75751,-3.0639,3.52916
42,1436540913040,-8.77409,-3.1449,3.41519
43,1436540913059,-8.75021,-3.14784,3.43997
44,1436540913079,-8.76253,-3.15155,3.37741
45,1436540913099,-8.71996,-3.12685,3.40987
46,1436540913119,-8.70229,-3.07982,3.47731
47,1436540913138,-8.76566,-3.10042,3.47333
48,1436540913159,-8.71617,-3.13721,3.52115
49,1436540913178,-8.70003,-3.19765,3.42157
50,1436540913197,-8.73383,-3.06918,3.47989
51,1436540913217,-8.75224,-2.99384,3.50497
52,1436540913237,-8.72668,-3.12836,3.46022
53,1436540913256,-8.70381,-3.16641,3.4697
54,1436540913277,-8.73358,-3.10944,3.44975
55,1436540913295,-8.75095,-3.09073,3.46321
56,1436540913316,-8.74414,-3.11436,3.46536
57,1436540913337,-8.72206,-3.10699,3.48865
58,1436540913356,-8.72673,-3.10048,3.50734
59,1436540913376,-8.71393,-3.1136,3.48618
60,1436540913395,-8.73344,-3.12613,3.46962
61,1436540913415,-8.77365,-3.14088,3.45297
62,1436540913435,-8.70772,-3.12991,3.47865
63,1436540913454,-8.69707,-3.07471,3.44745
64,1436540913473,-8.68979,-3.11339,3.46539
65,1436540913494,-8.74464,-3.13838,3.53131
66,1436540913513,-8.75198,-3.0833,3.49684
67,1436540913534,-8.71059,-3.11757,3.49442
68,1436540913553,-8.70355,-3.065,3.47133
69,1436540913573,-8.77866,-3.08395,3.48883
70,1436540913593,-8.75537,-3.07654,3.4894
71,1436540913612,-8.72817,-3.13725,3.45519
72,1436540913632,-8.75827,-3.07509,3.52043
73,1436540913652,-8.79353,-2.99321,3.52887
74,1436540913672,-8.73711,-3.03964,3.49181
75,1436540913692,-8.67049,-3.10616,3.44247
76,1436540913711,-8.70285,-3.09959,3.42557
77,1436540913731,-8.73404,-3.11356,3.37785
78,1436540913751,-8.65282,-3.11148,3.47627
79,1436540913770,-8.71095,-3.10022,3.53938
80,1436540913789,-8.72757,-3.11488,3.53938
81,1436540913810,-8.71548,-3.1946,3.51326
82,1436540913829,-8.69376,-3.21092,3.52596
83,1436540913850,-8.70635,-3.08379,3.53299
84,1436540913870,-8.75731,-3.07014,3.58165
85,1436540913890,-8.70714,-3.10083,3.53615
86,1436540913909,-8.69638,-3.10748,3.50542
87,1436540913929,-8.76096,-3.13225,3.53372
88,1436540913949,-8.73999,-3.10977,3.46158
89,1436540913969,-8.81171,-3.0641,3.51604
90,1436540913988,-8.8092,-3.02679,3.48892
91,1436540914028,-8.74931,-3.07996,3.45303
92,1436540914047,-8.74358,-3.0625,3.46004
93,1436540914067,-8.69838,-3.07072,3.41972
94,1436540914087,-8.63295,-3.03757,3.40253
95,1436540914105,-8.66418,-3.01611,3.39679
96,1436540914126,-8.67972,-3.01675,3.50587
97,1436540914145,-8.7188,-3.1218,3.49463
