id,attr_time,attr_x,attr_y,attr_z
1,1436540912205,0.040102877,9.635465,-0.2753332
2,1436540912227,0.090979666,9.688736,-0.18315643
3,1436540912246,0.0023942017,9.595362,-0.12569559
4,1436540912263,-0.06404489,9.54209,-0.26515785
5,1436540912285,0.08379706,9.533113,-0.48602295
6,1436540912306,0.13227965,9.563639,-0.25258827
7,1436540912325,-0.034715924,9.683349,0.0017956513
8,1436540912345,-0.11252748,9.625289,-0.25498247
9,1436540912366,-0.038905777,9.559449,-0.41240123
10,1436540912385,0.062249243,9.563639,-0.35314476
11,1436540912405,0.033518825,9.634268,-0.10175357
12,1436540912427,-0.008978256,9.667787,-0.094570965
13,1436540912445,0.02813187,9.589376,-0.19991584
14,1436540912466,-0.046686932,9.531317,-0.2896984
15,1436540912485,-0.06823475,9.570223,-0.3357868
16,1436540912507,-0.03172317,9.650429,-0.21068975
17,1436540912527,0.036511578,9.663596,-0.11911154
18,1436540912545,0.08379706,9.568427,-0.2681506
19,1436540912565,0.021547815,9.520543,-0.3609259
20,1436540912592,-0.023343466,9.587581,-0.22146365
21,1436540912652,-0.019153614,9.668983,-0.12449849
22,1436540912664,0.016759412,9.630077,-0.20709845
23,1436540912665,0.061650693,9.595362,-0.33638534
24,1436540912666,0.05865794,9.595362,-0.19393034
25,1436540912690,-0.02932897,9.585187,-0.16101007
26,1436540912735,-0.07182605,9.598354,-0.28790274
27,1436540912736,0.02932897,9.63726,-0.30226797
28,1436540912799,0.11552023,9.620501,-0.18255788
29,1436540912800,0.031124622,9.613917,-0.11552023
30,1436540912801,-0.077213004,9.558251,-0.20231004
31,1436540912807,-0.059855044,9.585785,-0.24121583
32,1436540912827,-0.022146367,9.631873,-0.17178397
33,1436540912845,0.021547815,9.633669,-0.14604631
34,1436540912867,0.11372458,9.554661,-0.2789245
35,1436540912885,0.08678981,9.580399,-0.18315643
36,1436540912906,-0.075417355,9.642049,-0.05327099
37,1436540912927,-0.11432313,9.6528225,-0.25438392
38,1436540912947,0.06584055,9.564238,-0.3298013
39,1436540912967,0.13467385,9.590573,-0.15322891
40,1436540912985,-0.022744916,9.624691,-0.095169514
41,1436540913004,-0.05805939,9.609129,-0.30585927
42,1436540913025,0.025737667,9.6049385,-0.23642741
43,1436540913047,0.008379706,9.566631,-0.110731825
44,1436540913066,0.05746084,9.596559,-0.2621651
45,1436540913085,-0.033518825,9.609129,-0.12449849
46,1436540913107,0.050876785,9.594165,-0.28491
