id,attr_time,attr_x,attr_y,attr_z
1,1436540912201,-1.0181342,10.068216,1.3850456
2,1436540912220,-0.9139865,10.027515,1.4257472
3,1436540912240,-0.9115923,10.05445,1.3557167
4,1436540912258,-0.96067345,10.090961,1.3395559
5,1436540912281,-1.0013748,10.111312,1.3808558
6,1436540912350,-0.98940384,10.078991,1.4425066
7,1436540912351,-0.9636662,10.083779,1.3587095
8,1436540912355,-0.9947908,10.05445,1.365892
9,1436540912361,-1.0103531,10.047866,1.3820529
10,1436540912386,-0.94331545,10.067019,1.3826514
11,1436540912399,-0.89423436,10.090961,1.3461399
12,1436540912417,-0.8924387,10.042479,1.3802572
13,1436540912440,-0.943914,10.068815,1.3784616
14,1436540912458,-0.99778354,10.101735,1.3365631
15,1436540912483,-1.0348936,10.096349,1.377863
16,1436540912502,-1.067814,10.045472,1.3940239
17,1436540912518,-1.0714053,10.041881,1.4000094
18,1436540912538,-1.0600328,10.050261,1.3515269
19,1436540912561,-1.0007763,10.052056,1.3754689
20,1436540912588,-0.94331545,10.065823,1.4209588
21,1436540912602,-0.9367314,10.109517,1.3856442
22,1436540912620,-1.0181342,10.116699,1.388637
23,1436540912640,-1.091756,10.081385,1.411382
24,1436540912657,-1.0133458,10.047866,1.4556746
25,1436540912680,-0.96306765,10.110115,1.3634979
26,1436540912697,-1.0007763,10.163386,1.3120226
27,1436540912720,-0.94690675,10.086173,1.4095862
28,1436540912738,-0.8798691,10.018537,1.4131776
29,1436540912760,-0.9427169,10.035895,1.4119805
30,1436540912780,-1.0690111,10.043077,1.3862427
31,1436540912800,-1.0372878,10.044274,1.3922282
32,1436540912821,-0.98341835,10.007763,1.3605051
33,1436540912841,-1.027711,10.056246,1.3425486
34,1436540912861,-0.96785605,10.04607,1.4443022
35,1436540912881,-0.8858546,10.055647,1.4544775
36,1436540912902,-0.9768343,10.083779,1.3880384
37,1436540912921,-1.0815806,10.086173,1.3634979
38,1436540912941,-1.067814,10.052654,1.3682863
39,1436540912961,-1.0295067,10.0269165,1.3802572
40,1436540912980,-1.0001777,10.065823,1.3760674
41,1436540912998,-1.009156,10.08737,1.3922282
42,1436540913070,-1.0139444,10.107721,1.4065934
43,1436540913071,-0.99538934,10.134656,1.4053963
44,1436540913072,-0.99538934,10.128671,1.3826514
45,1436540913080,-0.97144735,10.13286,1.400608
46,1436540913102,-0.97982705,10.057443,1.4443022
47,1436540913122,-1.0199299,10.012551,1.4287399
