,Method,Subject,Accelorometer Axis,Average Degree,Network Diameter,Average Path Length,Activity,Body Part
0,NVG,1.0,x,12.4921875,11.0,4.518702651515151,Walking,head
1,HVG,1.0,x,3.94921875,35.0,16.403747021627566,Walking,head
2,NVG,1.0,y,13.1875,9.0,4.281492470063538,Walking,head
3,HVG,1.0,y,3.966796875,24.0,10.074499404325513,Walking,head
4,NVG,1.0,z,12.974609375,13.0,5.146119715298143,Walking,head
5,HVG,1.0,z,3.9140625,39.0,14.945923448191593,Walking,head
6,NVG,1.0,x,9.6015625,9.0,4.617489155669599,Running,head
7,HVG,1.0,x,3.953125,31.0,10.856392809139784,Running,head
8,NVG,1.0,y,9.013671875,9.0,4.969255941471164,Running,head
9,HVG,1.0,y,3.96484375,21.0,7.2119073802541545,Running,head
10,NVG,1.0,z,8.146484375,10.0,4.9600363514174,Running,head
11,HVG,1.0,z,3.958984375,21.0,8.737777217741936,Running,head
12,NVG,1.0,x,12.18359375,9.0,4.127892457844575,Climbing Up,head
13,HVG,1.0,x,3.943359375,38.0,16.03048440554741,Climbing Up,head
14,NVG,1.0,y,18.02734375,10.0,3.95335028714565,Climbing Up,head
15,HVG,1.0,y,3.935546875,36.0,13.605382835410557,Climbing Up,head
16,NVG,1.0,z,16.42578125,11.0,4.490900690371457,Climbing Up,head
17,HVG,1.0,z,3.89453125,51.0,20.332672745601172,Climbing Up,head
18,NVG,1.0,x,10.01953125,13.0,5.308570839442815,Climbing Down,head
19,HVG,1.0,x,3.923828125,38.0,13.302396444281525,Climbing Down,head
20,NVG,1.0,y,13.814453125,10.0,4.723845689760508,Climbing Down,head
21,HVG,1.0,y,3.94921875,25.0,10.861814974340176,Climbing Down,head
22,NVG,1.0,z,12.64453125,10.0,4.611320488147605,Climbing Down,head
23,HVG,1.0,z,3.931640625,48.0,18.12295332355816,Climbing Down,head
24,NVG,2.0,x,8.767578125,10.0,4.490770863880743,Walking,head
25,HVG,2.0,x,3.94921875,25.0,9.14785328079179,Walking,head
26,NVG,2.0,y,14.06640625,10.0,4.942651056940371,Walking,head
27,HVG,2.0,y,3.96484375,29.0,11.88623953751222,Walking,head
28,NVG,2.0,z,13.43359375,8.0,4.4101180657380255,Walking,head
29,HVG,2.0,z,3.96484375,28.0,13.609781662390029,Walking,head
30,NVG,2.0,x,10.5703125,19.0,8.226720964687194,Running,head
31,HVG,2.0,x,3.94140625,30.0,11.693622846407624,Running,head
32,NVG,2.0,y,9.015625,161.0,54.12331607404692,Running,head
33,HVG,2.0,y,3.66796875,167.0,56.42310644244868,Running,head
34,NVG,2.0,z,6.513671875,11.0,5.10515372983871,Running,head
35,HVG,2.0,z,3.96875,15.0,7.155425219941349,Running,head
36,NVG,2.0,x,10.302734375,10.0,4.551959234481916,Climbing Up,head
37,HVG,2.0,x,3.96484375,29.0,10.388921981915933,Climbing Up,head
38,NVG,2.0,y,14.470703125,11.0,4.816257331378299,Climbing Up,head
39,HVG,2.0,y,3.9609375,32.0,12.743611772971652,Climbing Up,head
40,NVG,2.0,z,15.203125,9.0,4.350716718597263,Climbing Up,head
41,HVG,2.0,z,3.947265625,34.0,16.469992897727273,Climbing Up,head
42,NVG,2.0,x,13.896484375,10.0,4.441958012585533,Climbing Down,head
43,HVG,2.0,x,3.943359375,30.0,13.432289757453567,Climbing Down,head
44,NVG,2.0,y,13.484375,13.0,4.93350401698436,Climbing Down,head
45,HVG,2.0,y,3.955078125,29.0,12.4747582936217,Climbing Down,head
46,NVG,2.0,z,12.951171875,10.0,4.2445854716520035,Climbing Down,head
47,HVG,2.0,z,3.9140625,49.0,21.883656372189638,Climbing Down,head
48,NVG,3.0,x,15.201171875,9.0,4.15799311155914,Walking,head
49,HVG,3.0,x,3.9453125,37.0,15.984901942815249,Walking,head
50,NVG,3.0,y,17.65234375,8.0,3.987956683773216,Walking,head
51,HVG,3.0,y,3.9609375,32.0,13.63649346285435,Walking,head
52,NVG,3.0,z,15.61328125,8.0,4.239665429496578,Walking,head
53,HVG,3.0,z,3.958984375,29.0,11.45441753726784,Walking,head
54,NVG,3.0,x,8.845703125,12.0,5.593685086754643,Running,head
55,HVG,3.0,x,3.9375,34.0,11.52023574963343,Running,head
56,NVG,3.0,y,10.3515625,123.0,40.02032548264907,Running,head
57,HVG,3.0,y,3.755859375,127.0,42.852244089076244,Running,head
58,NVG,3.0,z,10.064453125,10.0,4.915572687561095,Running,head
59,HVG,3.0,z,3.953125,24.0,9.964059063416423,Running,head
60,NVG,3.0,x,17.271484375,10.0,4.309830920087976,Climbing Up,head
61,HVG,3.0,x,3.91796875,60.0,23.260363208699903,Climbing Up,head
62,NVG,3.0,y,18.12109375,9.0,4.327643878299121,Climbing Up,head
63,HVG,3.0,y,3.94921875,32.0,13.89341817876344,Climbing Up,head
64,NVG,3.0,z,19.048828125,9.0,4.492542613636363,Climbing Up,head
65,HVG,3.0,z,3.927734375,52.0,20.7919186827957,Climbing Up,head
66,NVG,3.0,x,14.2109375,8.0,4.023006017839688,Climbing Down,head
67,HVG,3.0,x,3.955078125,36.0,14.587046752810362,Climbing Down,head
68,NVG,3.0,y,14.083984375,11.0,4.605029630987293,Climbing Down,head
69,HVG,3.0,y,3.962890625,31.0,12.988290796065494,Climbing Down,head
70,NVG,3.0,z,15.896484375,8.0,3.6814477944770285,Climbing Down,head
71,HVG,3.0,z,3.91796875,57.0,20.040633782380255,Climbing Down,head
72,NVG,4.0,x,10.248046875,13.0,5.35895497311828,Walking,head
73,HVG,4.0,x,3.91796875,42.0,18.966537222018573,Walking,head
74,NVG,4.0,y,15.03515625,7.0,4.143103158602151,Walking,head
75,HVG,4.0,y,3.9609375,27.0,11.850985917644184,Walking,head
76,NVG,4.0,z,10.96875,10.0,4.527294110459433,Walking,head
77,HVG,4.0,z,3.939453125,35.0,14.313922363758554,Walking,head
78,NVG,4.0,x,9.873046875,11.0,4.973020909701857,Running,head
79,HVG,4.0,x,3.716796875,24.0,10.622812041788857,Running,head
80,NVG,4.0,y,10.728515625,8.0,4.458192051564027,Running,head
81,HVG,4.0,y,3.96875,24.0,10.71132697947214,Running,head
82,NVG,4.0,z,9.32421875,11.0,4.705177404081134,Running,head
83,HVG,4.0,z,3.962890625,20.0,9.21002107771261,Running,head
84,NVG,4.0,x,12.240234375,12.0,4.875110734359726,Climbing Up,head
85,HVG,4.0,x,3.947265625,33.0,14.221686369745846,Climbing Up,head
86,NVG,4.0,y,17.853515625,8.0,4.382701765640274,Climbing Up,head
87,HVG,4.0,y,3.95703125,36.0,14.728893649193548,Climbing Up,head
88,NVG,4.0,z,13.31640625,13.0,4.572466092375366,Climbing Up,head
89,HVG,4.0,z,3.91015625,48.0,19.675758339442815,Climbing Up,head
90,NVG,4.0,x,11.25390625,11.0,4.540736879887586,Climbing Down,head
91,HVG,4.0,x,3.943359375,39.0,16.304007820136853,Climbing Down,head
92,NVG,4.0,y,14.546875,10.0,4.811503390762463,Climbing Down,head
93,HVG,4.0,y,3.9609375,32.0,13.614974722018573,Climbing Down,head
94,NVG,4.0,z,12.064453125,11.0,4.592129078079179,Climbing Down,head
95,HVG,4.0,z,3.931640625,36.0,15.680808208088955,Climbing Down,head
96,NVG,5.0,x,8.998046875,11.0,4.848589855205279,Walking,head
